Symbol,Cluster,Difference
ENPH,1,19.074493
UHS,1,18.759048
ECL,1,14.156708
RVTY,1,4.171753
MMM,1,3.6495743
AKAM,1,0.254982
QCOM,1,-2.0118103
RJF,1,-2.8203049
PG,1,-3.16333
AVB,1,-4.9506683
PLD,1,-7.5480194
MAR,1,-24.713745
RL,1,-59.254097
MCK,1,-59.276672
LLY,1,-174.12048
LDOS,2,25.616089
LEN,2,18.7211
TSN,2,1.8572845
LNT,2,1.040699
IPG,2,0.93120384
MDLZ,2,0.7477112
IP,2,0.6561928
COO,2,0.29722595
WY,2,0.0632782
MTCH,2,-0.3343544
KO,2,-0.8407974
GLW,2,-0.916605
EQR,2,-1.2036324
DOW,2,-1.2780838
CNP,2,-1.2915611
EW,2,-1.4783707
NTAP,2,-1.7207489
SO,2,-2.0070343
WYNN,2,-7.0735703
PANW,2,-34.440445
DPZ,3,3.2269592
IDXX,3,-8.99231
INTU,3,-34.114258
MSCI,3,-49.467712
PAYC,4,25.043045
WST,4,9.144104
ALB,4,5.663376
PSA,4,4.030609
HON,4,3.8940735
BA,4,0.0025634766
FLT,4,-5.4894104
SNA,4,-9.962616
V,4,-11.801178
AON,4,-13.4721985
CI,4,-25.001923
